先,さき/セン before
像,ゾウ statue
倫,リン ethics
謁,エツ audience
穀,コク cereals
乱,みだ∙れる/ラン riot
寝,ね∙る/シン lie down
遣,つか∙う/ケン dispatch
己,おのれ/コ self
君,きみ/クン mister
溜,た∙まる/リュウ collect
卜,うらな∙う/ボク divining
率,ひき∙いる/ソツ ratio
呪,まじな∙う/ジュ spell
酎,かも∙す/チュウ sake
愉,たの∙しい/ユ pleasure
湊,みなと/ソウ port
予,あらかじ∙め/ヨ beforehand
廃,すた∙れる/ハイ abolish
福,フク blessing
散,ち∙る/サン scatter
仕,つか∙える/シ attend
窮,きわ∙める/キュウ hard up
娩,ベン bear (children)
枇,ビ spoon
記,しる∙す/キ scribe
想,おも∙う/ソウ concept
魂,たましい/コン soul
杖,つえ/ジョウ staff
絢,ケン brilliant fabric design
芹,せり/キン parsley
托,たく∙する/タク requesting
強,つよ∙い/キョウ strong
拓,ひら∙く/タク clear (the land)
蜜,ミツ honey
符,フ token
播,ま∙く/ハ plant
意,イ idea
判,わか∙る/ハン judgement
経,へ∙る/ケイ sutra
伐,き∙る/バツ fell
常,つね/ジョウ usual
眸,ひとみ/ボウ pupil of the eye
俊,シュン sagacious
忽,たちま∙ち/コツ in a moment
葡,ブ wild grape
監,カン oversee
摺,す∙る/ショウ rub
康,コウ ease
財,たから/ザイ property
玉,たま/ギョク jewel
含,ふく∙む/ガン contain
柊,ひいらぎ/シュ holly
禾,いね/カ two-branch tree radical (no. 115)
商,あきな∙う/ショウ make a deal
末,すえ/マツ end
青,あお/セイ blue
喋,しゃべ∙る/チョウ talk
私,わたくし/シ private
陶,トウ pottery
祢,ネ ancestral shrine
惣,いそが∙しい/ソウ all
迄,まで/キツ until
蹄,ひづめ/テイ hoof
編,あ∙む/ヘン compilation
妹,いもうと/マイ younger sister
九,ここの/キュウ nine
乞,こ∙う/コツ beg
桜,さくら/オウ cherry
印,しるし/イン stamp
賠,バイ compensation
話,はな∙す/ワ tale
褒,ほ∙める/ホウ praise
電,デン electricity
是,これ/ゼ just so
徴,しるし/チョウ indications
歎,なげ∙く/タン grief
匹,ひき/ヒツ equal
姫,ひめ/キ princess
夷,えびす/イ barbarian
他,ほか/タ other
濃,こ∙い/ノウ concentrated
薬,くすり/ヤク medicine
節,ふし/セツ node
臥,ふせ∙る/ガ bend down
顎,あご/ガク jaw
蕉,ショウ banana
順,ジュン obey
凧,いかのぼり kite
罰,ばっ∙する/バツ penalty
迎,むか∙える/ゲイ welcome
粋,いき/スイ chic
忌,い∙む/キ mourning
採,と∙る/サイ pick
裸,はだか/ラ naked
央,オウ center
盟,メイ alliance
捉,とら∙える/ソク catch
泌,ヒツ ooze
耶,か/ヤ question mark
複,フク duplicate
苦,くる∙しい/ク suffering
鞘,さや/ショウ sheath
挑,いど∙む/チョウ challenge
氾,ひろ∙がる/ハン spread out
楓,かえで/フウ maple
淋,さび∙しい/リン lonely
柴,しば/サイ brush
萱,かや/ケン miscanthus reed
改,あらた∙める/カイ reformation
途,みち/ト route
争,あらそ∙う/ソウ contend
責,せ∙める/セキ blame
勤,つと∙める/キン diligence
暇,ひま/カ spare time
妙,たえ/ミョウ exquisite
緻,こまか∙い/チ fine (i.e. not coarse)
麟,リン Chinese unicorn
税,ゼイ tax
組,く∙む/ソ association
薙,な∙ぐ/テイ mow down (the enemy)
当,あ∙たる/トウ hit
衝,つ∙く/ショウ collide
鎖,くさり/サ chain
栞,しおり/カン bookmark
奔,はし∙る/ホン run
件,くだん/ケン affair
政,まつりごと/セイ politics
裟,サ Buddhist surplice
廊,ロウ corridor
寄,よ∙る/キ draw near
堰,せき/エン dam
燦,さん∙たる/サン brilliant
丁,ひのと/チョウ street
酉,とり/ユウ west
尽,つ∙くす/ジン exhaust
蔵,くら/ゾウ storehouse
廿,にじゅう/ジュウ twenty
洗,あら∙う/セン wash
結,むす∙ぶ/ケツ tie
煌,きらめ∙く/コウ glitter
伏,ふ∙せる/フク prostrated
佑,たす∙ける/ユウ help
越,こ∙す/エツ surpass
勧,すす∙める/カン persuade
緑,みどり/リョク green
稟,こめぐら/リン salary in rice
炉,いろり/ロ hearth
襖,ふすま/オウ opaque sliding door
紗,うすぎぬ/サ gauze
作,つく∙る/サク make
偵,テイ spy
守,まも∙る/シュ guard
敢,あ∙えて/カン daring
匂,にお∙う fragrant
膳,かしわ/ゼン small low table
疑,うたが∙う/ギ doubt
竿,さお/カン pole
縁,ふち/エン affinity
寛,くつろ∙ぐ/カン tolerant
鋼,はがね/コウ steel
豆,まめ/トウ beans
銭,ぜに/セン coin
邦,くに/ホウ home country
咲,さ∙く/ショウ blossom
這,は∙う/シャ crawl
鳴,な∙く/メイ chirp
困,こま∙る/コン quandary
幼,おさな∙い/ヨウ infancy
脅,おびや∙かす/キョウ threaten
安,やす∙い/アン relax
砲,ホウ cannon
嶺,みね/レイ peak
獅,しし/シ lion
店,みせ/テン store
翔,かけ∙る/ショウ soar
悠,ユウ permanence
湘,ショウ name of Chinese river
陳,ひ∙ねる/チン exhibit
唐,から/トウ T'ang
怨,うら∙む/エン grudge
糊,のり/コ paste
灘,なだ/タン open sea
桁,けた/コウ beam
令,レイ orders
対,あいて/タイ vis-a-vis
睡,ねむ∙る/スイ drowsy
急,いそ∙ぐ/キュウ hurry
悔,く∙いる/カイ repent
宵,よい/ショウ wee hours
智,チ wisdom
償,つぐな∙う/ショウ reparation
液,エキ fluid
涙,なみだ/ルイ tears
類,たぐ∙い/ルイ sort
丼,どんぶり/トン bowl
瘍,かさ/ヨウ swelling
低,ひく∙い/テイ lower
菓,カ candy
貨,たから/カ freight
誕,タン nativity
逞,たくま∙しい/テイ sturdy
代,か∙わる/ダイ substitute
信,シン faith
災,わざわ∙い/サイ disaster
会,あ∙う/カイ meeting
坑,コウ pit
帰,かえ∙る/キ homecoming
連,つら∙なる/レン take along
略,ほぼ/リャク abbreviation
鍛,きた∙える/タン forge
震,ふる∙う/シン quake
習,なら∙う/シュウ learn
菜,な/サイ vegetable
較,くら∙べる/カク contrast
載,の∙せる/サイ ride
墨,すみ/ボク black ink
骸,むくろ/ガイ bone
定,さだ∙める/テイ determine
原,はら/ゲン meadow
尋,たず∙ねる/ジン inquire
醜,みにく∙い/シュウ ugly
感,カン emotion
稜,いつ/リョウ angle
霊,たま/レイ spirits
陽,ひ/ヨウ sunshine
江,え/コウ creek
脈,すじ/ミャク vein
雫,しずく/ダ drop
寸,スン measurement
酵,コウ fermentation
祷,いの∙る/トウ pray
牛,うし/ギュウ cow
橙,だいだい/トウ bitter orange
笈,キュウ backpack bookcase
裁,た∙つ/サイ tailor
潜,ひそ∙む/セン submerge
赦,シャ pardon
位,くらい/イ rank
袴,はかま/コ men's formal divided skirt
敬,うやま∙う/ケイ awe
倉,くら/ソウ godown
嗣,シ heir
柱,はしら/チュウ pillar
娘,むすめ/ジョウ daughter
俵,たわら/ヒョウ bag
初,はじ∙め/ショ first time
機,はた/キ loom
俄,にわか/ガ sudden
羚,かもしか/レイ antelope
胸,むね/キョウ bosom
旭,あさひ/キョク rising sun
垣,かき/エン hedge
籍,セキ enroll
入,い∙る/ニュウ enter
穂,ほ/スイ ear
燿,かがや∙く/ヨウ shine
唾,つば/ダ saliva
子,こ/シ child
砕,くだ∙く/サイ smash
峻,けわ∙しい/シュン high
険,けわ∙しい/ケン precipitous
霜,しも/ソウ frost
払,はら∙う/フツ pay
玲,レイ sound of jewels
律,リツ rhythm
却,かえ∙って/キャク instead
兄,あに/ケイ elder brother
膜,マク membrane
竣,わらわ/ドウ end
凡,およ∙そ/ボン commonplace
怪,あや∙しい/カイ suspicious
只,ただ/シ only
閥,バツ clique
蟹,かに/カイ crab
測,はか∙る/ソク fathom
錆,さび/ショウ tarnish
狙,ねら∙う/ソ aim at
晶,ショウ sparkle
捲,ま∙く/ケン roll
栽,サイ plantation
陥,おちい∙る/カン collapse
耽,ふ∙ける/タン addicted
舷,ふなばた/ゲン gunwale
潔,いさぎよ∙い/ケツ undefiled
冴,さ∙える/ゴ be clear
諒,あきら∙か/リョウ fact
座,すわ∙る/ザ squat
模,モ imitation
栗,くり/リツ chestnut
懐,ふところ/カイ pocket
梶,かじ/ビ sculling oar
早,はや∙い/ソウ early
桂,かつら/ケイ Japanese Judas-tree
琥,コ jewelled utensil
遂,と∙げる/スイ consummate
湾,いりえ/ワン gulf
汽,キ vapor
巣,す/ソウ nest
東,ひがし/トウ east
朔,ついたち/サク conjunction (astronomy)
